keyword,notes
fitness,健身类
workout,锻炼类
exercise,运动类
gym,健身房类
health,健康类
running,跑步类
cycling,骑行类
pedometer,计步器
calorie,卡路里计算
bmi,BMI 计算
step counter,步数计数
diet,饮食类
nutrition,营养类
food,食物记录
meal,餐食记录
recipe,菜谱类
eating,饮食追踪
fasting,间歇性断食
water intake,饮水记录
habit,习惯追踪
todo,待办事项
task manager,任务管理
reminder,提醒类
productivity,生产力类
journal,日记类
diary,日记类
checklist,清单类
routine,日常惯例
goal tracker,目标追踪
planner,计划类
pomodoro,番茄钟
calculator,计算器
finance,财务类
budget,预算类
expense,支出记录
money manager,财务管理
wallet,钱包类
accounting,记账类
music player,音乐播放器
audio player,音频播放器
music app,音乐 App
playlist,播放列表
podcast,播客类
radio,收音机类
equalizer,均衡器
timer,计时器
stopwatch,秒表
countdown,倒计时
alarm,闹钟
gallery,相册类
photo,照片类
media player,媒体播放器
weather app,天气 App
flashcard,闪卡记忆
language learning,语言学习
